"","group","diff","reward","MeanReactionTime","ReactionTimeStandardError","MeanAccuracy","AccuracyStandardError"
"1","BD",1,1,1376.09,59.902,0.865,0.03
"2","BD",1,2,1273.821,61.044,0.897,0.025
"3","BD",2,1,1362.519,88.572,0.827,0.042
"4","BD",2,2,1407.095,69.743,0.763,0.038
"5","BD",3,1,1508.829,66.532,0.671,0.037
"6","BD",3,2,1429.948,70.372,0.7,0.036
"7","HC",1,1,1293.987,50.907,0.902,0.026
"8","HC",1,2,1232.001,51.878,0.906,0.021
"9","HC",2,1,1430.025,75.272,0.825,0.036
"10","HC",2,2,1391.872,59.27,0.805,0.033
"11","HC",3,1,1505.323,56.541,0.709,0.031
"12","HC",3,2,1477.349,59.805,0.677,0.031
"13","MDD",1,1,1339.378,57.723,0.88,0.029
"14","MDD",1,2,1325.799,58.824,0.874,0.024
"15","MDD",2,1,1321.12,85.35,0.738,0.04
"16","MDD",2,2,1384.47,67.206,0.765,0.037
"17","MDD",3,1,1465.804,64.112,0.674,0.035
"18","MDD",3,2,1376.386,67.813,0.657,0.035
